model_name,window_count,avg_ending_capital,median_ending_capital,avg_profit_dollars,avg_cagr,median_cagr,avg_sharpe,median_sharpe,avg_sortino,avg_max_drawdown,avg_information_ratio,beat_baseline_windows,model_dim,training_lookback_days,sequence_lookback_window,target_clip_quantile,objective_name
transformer_d4_lb252_seq20_clip_q95,4,121320.39813243895,112032.83000865742,21320.398132438946,0.21548029400172566,0.12572106115805864,0.8612971097260773,0.6154961343454279,1.4637976494869982,-0.16207284933494795,0.030423141049139346,2,4.0,252.0,20.0,0.95,clip_q95
transformer_d4_lb252_seq20_raw,4,120519.83186947381,109542.23204537574,20519.831869473812,0.2071810386706048,0.10064169824331348,0.8235659106611841,0.5053167129089772,1.4094414042393397,-0.16481210049675696,-0.030835175481403423,2,4.0,252.0,20.0,,raw
transformer_d4_lb252_seq40_clip_q90,4,120121.78896516969,109451.45305411977,20121.788965169697,0.200733084873166,0.09764208667309754,0.7863578733277121,0.49334425979252994,1.3770147161353834,-0.16823507782648514,0.035023620590880294,2,4.0,252.0,40.0,0.9,clip_q90
transformer_d4_lb252_seq40_clip_q95,4,120102.61110548196,110260.76711134534,20102.611105481967,0.2000925150906207,0.10483764487401714,0.7798764270669974,0.5192854159910483,1.370272124386643,-0.16564975578819782,0.020270046625354476,2,4.0,252.0,40.0,0.95,clip_q95
transformer_d4_lb252_seq20_clip_q90,4,119024.12735935824,109355.04226698869,19024.127359358245,0.19203771760059302,0.09882260525125935,0.7658085923462883,0.49368336572284954,1.3327369677769954,-0.1691317145279621,-0.11949609782608223,2,4.0,252.0,20.0,0.9,clip_q90
transformer_d4_lb252_seq40_raw,4,118779.0095229836,107265.07599933361,18779.009522983608,0.187216855607287,0.07555844256281308,0.7356016399084376,0.4265153151557457,1.2919953860510511,-0.16902950918749834,-0.03432393111036798,2,4.0,252.0,40.0,,raw
configured_baseline,4,115607.14729608857,108789.67024700079,15607.14729608857,0.1595204111403012,0.09000704756300543,0.7652202594637533,0.5198868295102785,1.2352738875478453,-0.16505770947996345,-0.04058410947238356,0,,,,,
transformer_d4_lb252_seq10_raw,4,111945.65993275656,106357.71615969476,11945.659932756564,0.11961995913226775,0.06512696748528685,0.5478565109982267,0.3518038230913597,0.9391050394098378,-0.17570685662187213,-0.48369214107517855,1,4.0,252.0,10.0,,raw
transformer_d4_lb252_seq10_clip_q90,4,111849.33159467016,106003.50448918951,11849.331594670159,0.11925650192309728,0.06156339262112526,0.556183252839064,0.3442034614217512,0.960502488146501,-0.1800776311803956,-0.44818051375534845,1,4.0,252.0,10.0,0.9,clip_q90
transformer_d4_lb252_seq10_clip_q95,4,110833.53267856852,106003.50448918951,10833.532678568521,0.10909852601308576,0.06156339262112526,0.5057962222341249,0.3442034614217512,0.8805939268812331,-0.1800776311803957,-0.5303262106044399,1,4.0,252.0,10.0,0.95,clip_q95
